Wall time,Step,Value
1529477941,12890,0.235901684
1529478111,12896,0.24271965
1529479725,12938,0.224587217
1529479753,12939,0.227870181
1529480751,12959,0.166934058
1529482823,13017,0.22741738
1529483303,13034,0.221943751
1529484493,13061,0.184905857
1529484521,13062,0.173027858
1529484748,13070,0.185219154
1529485088,13082,0.257309318
1529485426,13094,0.145677209
1529486278,13109,0.206657767
1529486390,13113,0.218833163
1529486865,13130,0.196636289
1529487369,13148,0.206173837
1529488314,13166,0.194978416
1529488757,13181,0.183843881
1529489043,13191,0.255461663
1529489128,13194,0.18913886
1529489900,13206,0.198803246
1529489927,13207,0.174996614
1529490040,13211,0.190328553
1529490820,13239,0.155105501
1529491980,13265,0.154806897
1529492903,13298,0.064782605
1529493753,13313,0.146020591
1529494812,13349,0.095714554
1529497243,13402,0.126456037
1529497356,13406,0.223722622
1529497918,13426,0.199907944
1529499733,13475,0.190051332
1529500985,13504,0.15455915
1529502176,13546,0.121454708
1529504097,13597,0.184143156
1529504999,13612,0.18389897
1529505234,13620,0.132345334
1529505427,13626,0.146403
1529507341,13676,0.149200663
1529507427,13679,0.119378552
1529507513,13682,0.232648626
1529507884,13695,0.224427402
1529509081,13722,0.215967149
1529509790,13747,0.213927835
1529510423,13754,0.216757312
1529511039,13776,0.241589263
1529512434,13810,0.150976598
1529513427,13845,0.145294189
1529514511,13868,0.147294879
1529514595,13871,0.168327659
1529514960,13884,0.204999417
1529515073,13888,0.371655226
1529516875,13937,0.236122668
1529516902,13938,0.244498506
1529517865,13957,0.149809465
1529517948,13960,0.210862711
1529518213,13969,0.208818883
1529518240,13970,0.147074223
1529518409,13976,0.198263064
1529518969,13996,0.244995296
1529519025,13998,0.171463132
1529522194,14080,0.150196105
1529522362,14086,0.187085763
1529525505,14161,0.171660036
1529527788,14221,0.09950044
1529527959,14227,0.191917494
1529528610,14250,0.207242042
1529530077,14287,0.126325309
1529530105,14288,0.148101315
1529530273,14294,0.138444006
1529530955,14303,0.231190607
1529531432,14320,0.173627988
1529531767,14332,0.14740546
1529531934,14338,0.109259851
1529532923,14358,0.153356671
1529533036,14362,0.210265398
1529534015,14397,0.190594479
1529535845,14447,0.159672827
1529536945,14471,0.175135359
1529537589,14494,0.202253476
1529539031,14530,0.154563472
1529540132,14554,0.16548492
1529540216,14557,0.188162252
1529542327,14617,0.169207618
1529542748,14632,0.152274176
1529542916,14638,0.209532008
1529544182,14668,0.170850337
1529544433,14677,0.168142408
1529544544,14681,0.196889475
1529544712,14687,0.174299583
1529546793,14746,0.190988973
1529547561,14758,0.186860859
1529548149,14779,0.1730593
1529548176,14780,0.15647617
1529548288,14784,0.191012412
1529548400,14788,0.150906488
1529548511,14792,0.19701609
1529549417,14809,0.162028924
1529549584,14815,0.204177484
1529549697,14819,0.197347477
1529550451,14846,0.200160488
1529551638,14873,0.097198389
1529552169,14892,0.240409166
1529553494,14924,0.114860937
1529553521,14925,0.056808356
1529553549,14926,0.064713366
1529554223,14950,0.084302075
1529556912,15015,0.193974376
1529557247,15027,0.093001492
1529559458,15090,0.130623206
1529561068,15132,0.161997497
1529561180,15136,0.13960956
1529562842,15180,0.14817059
1529563375,15199,0.168066844
1529564841,15236,0.133240297
1529566114,15266,0.168683112
1529566310,15273,0.124736346
1529566591,15283,0.15619041
1529567524,15301,0.135747924
1529568168,15324,0.207631052
1529568641,15341,0.149732575
1529568809,15347,0.202601954
1529569435,15354,0.202310145
1529571187,15401,0.163887933
1529571329,15406,0.162494197
1529571778,15422,0.162839442
1529571947,15428,0.174379826
1529572226,15438,0.215307236
1529573162,15456,0.146341085
1529573638,15473,0.164064556
1529573694,15475,0.177995265
1529575021,15507,0.212001085
1529575581,15527,0.217220187
1529575890,15538,0.154725492
1529577636,15585,0.151084706
1529577973,15597,0.188913733
1529578710,15608,0.159616888
1529580935,15672,0.096973062
1529582235,15703,0.220435426
1529583270,15740,0.087324202
1529584376,15764,0.080441058
1529584628,15773,0.140939519
1529584795,15779,0.134388566
1529585215,15794,0.139031067
1529586122,15811,0.111988954
1529586516,15825,0.149396732
1529586600,15828,0.101983607
1529587133,15847,0.219640866
1529588097,15866,0.173302621
1529592130,15979,0.179822415
1529592355,15987,0.102858171
1529592524,15993,0.215399846
1529593746,16017,0.171354085
1529593776,16018,0.162680835
1529595491,16056,0.187558144
1529596348,16083,0.179067418
1529596731,16095,0.163764805
1529597800,16116,0.201533154
1529599969,16175,0.1643731
1529600343,16188,0.13946338
1529600626,16198,0.192203254
1529601204,16202,0.191127598
1529602533,16249,0.175463691
1529605418,16321,0.130338594
1529606030,16343,0.148038059
1529606142,16347,0.216528773
1529606198,16349,0.159452185
1529606226,16350,0.164538369
1529606934,16360,0.191253513
1529607491,16380,0.175363928
1529608648,16406,0.200717941
1529609595,16440,0.134388953
1529609846,16449,0.121886447
1529612270,16505,0.263957888
1529614205,16559,0.067771748
1529614931,16585,0.137511164
1529615070,16590,0.187456146
1529616058,16610,0.148583442
1529617906,16661,0.16556634
1529618017,16665,0.181753457
1529618911,16697,0.163987637
1529620707,16746,0.128246307
1529621697,16766,0.10015282
1529622594,16798,0.207790285
1529623305,16808,0.187780157
1529623333,16809,0.154288337
1529624033,16834,0.111551829
1529624287,16843,0.135399774
1529625108,16857,0.149378538
1529626280,16899,0.096181326
1529627408,16924,0.198641285
1529629930,16999,0.188381031
1529632661,17066,0.13515085
1529633525,17097,0.167529136
1529634907,17131,0.162621424
1529634935,17132,0.166098326
1529635983,17154,0.154962048
1529637043,17192,0.17868802
1529637183,17197,0.132956192
1529637753,17202,0.157607675
1529638033,17212,0.179906592
1529638785,17239,0.143593818
1529638813,17240,0.1458399
1529639009,17247,0.137756258
1529639832,17261,0.175972804
1529640140,17272,0.074698389
1529640640,17290,0.119297452
1529640696,17292,0.149984255
1529641767,17315,0.144697979
1529641795,17316,0.221052974
1529641823,17317,0.195095748
1529641907,17320,0.218086794
1529642439,17339,0.098015375
1529643847,17374,0.073773377
1529644319,17391,0.125307798
1529645113,17404,0.128622591
1529645141,17405,0.142570063
1529645420,17415,0.143796995
1529645727,17426,0.063478015
1529646007,17436,0.110027373
1529646231,17444,0.174388602
1529646940,17454,0.151465088
1529648739,17503,0.130174503
1529648963,17511,0.137930259
1529649074,17515,0.151131213
1529649856,17543,0.147973508
1529650680,17557,0.103629306
1529650856,17563,0.224738643
1529651269,17577,0.162771061
1529651327,17579,0.140280306
1529651535,17586,0.166008875
1529651754,17593,0.099240646
1529651784,17594,0.104712404
1529651918,17598,0.102163397
1529653145,17623,0.150625139
1529653423,17633,0.18782258
1529653534,17637,0.152143598
1529654416,17653,0.117962375
1529654815,17667,0.133489072
1529656286,17703,0.073426843
1529656315,17704,0.092220992
1529656519,17711,0.182437956
1529656830,17722,0.174231395
1529658687,17771,0.154602438
1529658717,17772,0.170712903
1529658865,17777,0.16454342
1529660134,17804,0.183572337
1529660652,17822,0.1478163
1529661217,17842,0.187489584
1529666647,17953,0.138845459
1529667082,17962,0.190591201
1529667705,17978,0.155762091
1529667795,17981,0.138829246
1529668092,17990,0.165768906
1529670033,18018,0.147636369
1529672197,18052,0.130807802
1529672234,18053,0.139211461
1529672546,18062,0.099517114
1529672714,18065,0.11739035
1529675305,18104,0.147984833
1529676026,18119,0.190490872
1529676489,18129,0.044386428
1529677161,18144,0.093791351
1529677248,18146,0.049603447
1529678262,18154,0.087558612
1529678887,18170,0.068903647
1529679888,18190,0.070055723
1529681663,18214,0.117499098
1529682657,18236,0.175895631
1529684399,18264,0.147219598
1529685008,18276,0.165737584
1529687551,18318,0.112949297
1529687686,18321,0.113648698
1529690172,18362,0.099739835
1529690553,18370,0.099687792
1529695332,18451,0.146094456
1529695378,18452,0.137558386
1529699946,18539,0.186728731
1529700310,18547,0.140037805
1529702912,18591,0.159863025
1529702955,18592,0.144061655
1529705809,18643,0.166810423
1529706846,18652,0.173932552
1529709785,18703,0.135253623
1529710272,18713,0.140060633
1529710598,18720,0.122781642
1529711878,18749,0.153918639
1529714223,18786,0.134853244
1529715650,18803,0.111182138
1529717538,18845,0.151527613
1529720445,18893,0.074669152
1529722880,18933,0.03796142
1529724577,18958,0.138416842
1529725415,18977,0.059800141
1529725647,18982,0.067271002
1529725889,18987,0.071624689
1529727290,19005,0.16983515
1529727564,19010,0.138482437
1529727800,19015,0.133058533
1529728346,19027,0.098760664
1529729295,19048,0.086986743
1529731870,19095,0.106051669
1529733541,19116,0.098380215
1529735873,19153,0.139800429
1529736591,19169,0.116909206
1529738608,19203,0.091066897
1529739035,19214,0.155405983
1529739708,19227,0.142960414
1529742119,19264,0.095680207
1529742445,19271,0.140186787
1529742633,19275,0.129168913
1529743744,19300,0.122516692
1529745553,19326,0.115389965
1529750695,19407,0.10448505
1529750837,19410,0.145749688
1529751084,19415,0.175315276
1529754037,19465,0.168724224
1529755067,19485,0.132033959
1529755809,19500,0.145230755
1529756651,19503,0.105867609
1529756746,19505,0.111211926
1529757694,19525,0.119189836
1529757973,19531,0.168706909
1529759746,19554,0.147993684
1529760851,19579,0.090941347
1529760937,19581,0.188510016
1529761519,19594,0.151186034
1529763127,19615,0.125686482
1529764025,19634,0.136900514
1529764307,19640,0.1229214
1529765624,19654,0.131301001
1529766148,19665,0.139283881
1529766539,19674,0.131237298
1529766713,19678,0.116183348
1529769167,19720,0.142184839
1529769480,19727,0.133249119
1529769663,19731,0.198428243
1529769894,19736,0.040539131
1529769939,19737,0.088746943
1529772421,19777,0.054755203
1529773297,19796,0.125214159
1529775149,19823,0.133958012
1529776206,19846,0.164627254
1529780744,19916,0.137858301
1529781247,19926,0.124469258
1529781716,19938,0.176886842
1529783279,19955,0.137291864
1529784054,19971,0.082832672
1529784434,19979,0.16339682
1529784838,19988,0.14357844
1529785141,19995,0.138315991
1529787512,20035,0.132539585
1529787841,20042,0.14153564
1529788144,20048,0.176263034
1529789061,20053,0.129831031
1529789348,20059,0.106997572
1529789491,20062,0.131389529
1529793539,20138,0.147767097
1529793588,20139,0.130129829
1529793685,20141,0.171646163
1529794024,20148,0.155953944
1529795097,20160,0.155361056
1529796248,20183,0.147324219
1529796382,20186,0.140353486
1529798441,20217,0.189416304
1529799417,20239,0.122602805
1529799628,20244,0.113877103
1529799770,20247,0.12250936
1529800643,20252,0.131615967
1529802661,20293,0.126691386
1529804122,20308,0.102084562
